DATE,JONGNO,JONGNO_ADD,JUNGGU,JUNGGU_ADD,YONGSAN,YONGSAN_ADD,SEONGDONG,SEONGDONG_ADD,GWANGJIN,GWANGJIN_ADD,DDM,DDM_ADD,JUNGNANG,JUNGNANG_ADD,SEONGBUK,SEONGBUK_ADD,GANGBUK,GANGBUK_ADD,DOBONG,DOBONG_ADD,NOWON,NOWON_ADD,EP,EP_ADD,SDM,SDM_ADD,MAPO,MAPO_ADD,YANGCHEON,YANGCHEON_ADD,GURO,GURO_ADD,GEUMCHEON,GEUMCHEON_ADD,YDP,YDP_ADD,DONGJAK,DONGJAK_ADD,GWANAK,GWANAK_ADD,SEOCHO,SEOCHO_ADD,GANGNAM,GANGNAM_ADD,GANGDONG,GANGDONG_ADD,ETC,ETC_ADD
2021.11.16.00,2365,13,2336,14,3388,10,3660,38,4371,23,5212,57,4834,37,5359,64,3719,25,3602,35,5437,26,5646,20,3484,19,4681,29,4322,25,6651,58,3225,23,6376,64,5221,19,7057,38,5215,25,8425,37,5500,31,9271,40
2021.11.15.00,2352,15,2322,14,3378,18,3622,23,4348,19,5155,44,4797,29,5295,55,3694,15,3567,26,5411,42,5626,30,3465,10,4652,21,4297,34,6593,38,3202,19,6312,56,5202,31,7019,32,5190,27,8388,42,5469,78,9232,47
2021.11.08.00,2240,6,2208,12,3275,10,3455,16,4208,23,4818,24,4602,27,5000,21,3525,22,3375,18,5063,36,5341,42,3310,19,4487,17,4060,20,6241,50,3032,19,5930,49,5016,19,6656,42,4979,26,8133,31,5107,34,8818,51
2021.11.07.00,2234,12,2196,9,3265,12,3439,19,4184,24,4794,42,4574,27,4979,38,3503,18,3357,31,5027,45,5299,44,3291,12,4470,17,4040,31,6192,48,3013,48,5881,49,4997,17,6614,54,4953,28,8102,34,5073,53,8767,41
2021.11.06.00,2222,12,2187,19,3253,15,3420,24,4160,22,4752,40,4547,27,4941,35,3485,29,3326,40,4982,46,5255,53,3279,19,4453,14,4009,30,6158,66,2965,40,5832,49,4980,28,6559,57,4925,38,8068,25,5020,40,8712,51
2021.11.05.00,2210,15,2169,21,3238,18,3396,20,4139,21,4712,56,4519,23,4906,45,3456,27,3286,36,4936,49,5202,40,3260,18,4439,27,3979,31,6092,74,2925,53,5783,64,4952,28,6502,48,4887,29,8043,24,4980,28,8660,68
2021.11.04.00,2195,14,2148,14,3220,18,3376,16,4119,26,4656,57,4496,31,4861,49,3429,29,3250,17,4887,53,5162,46,3242,20,4412,22,3950,28,6022,64,2872,37,5718,67,4924,31,6454,55,4858,21,8019,30,4951,40,8588,55
2021.11.03.00,2181,17,2134,12,3202,15,3360,25,4093,20,4651,45,4465,27,4811,55,3400,42,3233,17,4834,31,5116,46,3222,32,4390,28,3921,31,5958,75,2835,31,5654,72,4893,35,6399,65,4837,25,7989,33,4911,55,8481,56
2021.11.02.00,2164,3,2122,8,3187,11,3335,14,4073,14,4606,21,4438,18,4756,61,3358,28,3216,19,4803,17,5070,16,3190,18,4362,21,3891,34,5883,41,2805,19,5582,23,4858,18,6334,37,4812,17,7956,24,4856,27,8424,45
2021.11.01.00,2161,6,2114,19,3176,10,3321,5,4059,12,4585,37,4420,21,4695,44,3330,28,3197,19,4786,27,5054,16,3172,16,4341,18,3857,38,5842,35,2786,19,5559,43,4840,20,6297,35,4795,21,7932,21,4829,38,8379,28
2021.10.31.00,2155,12,2095,19,3166,17,3316,15,4048,16,4548,40,4399,19,4651,52,3302,29,3178,11,4759,35,5038,20,3156,13,4323,21,3819,25,5807,68,2767,16,5516,49,4820,32,6262,44,4774,16,7911,25,4791,40,8350,46
2021.10.30.00,2143,10,2076,19,3149,9,3301,16,4032,14,4508,57,4380,15,4599,36,3273,28,3167,24,4724,37,5018,20,3143,8,4302,23,3794,22,5739,38,2751,18,5467,51,4788,24,6218,47,4758,16,7886,25,4751,39,8304,34
